Game Title,Console,Genre,Publisher,Developer,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq
WWF SmackDown!,PS,Fighting,THQ,Yuke's,7.101890450799806,3.58,2.01,0.06,1.35,0.16,2000,726,30
Cooking Mama 2: Dinner With Friends,DS,Simulation,Majesco,Office Create,6.9,3.5800000000000005,1.6,0.1,1.49,0.39,2007,227,5
The Getaway,PS2,Action,Sony Computer Entertainment,Team Soho,7.7,3.54,1.23,0.05,1.77,0.49,2003,568,2
Tomb Raider III: Adventures of Lara Croft,PS,Adventure,Eidos Interactive,Core Design Ltd.,8.2,3.54,1.66,0.12,1.58,0.18,1998,209,24
Grand Theft Auto: Liberty City Stories,PS2,Action,Rockstar Games,Rockstar Leeds,8.3,3.54,1.56,0.07,1.4,0.5,2006,93,10
Battlefield 4,X360,Shooter,Electronic Arts,EA DICE,8.7,3.5500000000000003,2.16,0.02,1.05,0.32,2013,843,25
Batman: Arkham Asylum,X360,Action,Eidos Interactive,Rocksteady Studios,9.1,3.54,2.24,0.02,0.95,0.33,2009,209,12
Resident Evil 5,X360,Action,Capcom,Capcom,8.6,3.53,2.13,0.12,0.93,0.34,2009,437,294
Assassin's Creed: Brotherhood,X360,Action,Ubisoft,Ubisoft Montreal,9.1,3.54,2.87,0.03,0.39,0.25,2010,1012,172
LEGO Star Wars: The Video Game,PS2,Action,Eidos Interactive,Traveller's Tales,7.9,3.54,1.98,0.01,1.14,0.41,2005,209,152
James Bond 007: Agent Under Fire,PS2,Shooter,Electronic Arts,EA Redwood Shores,7.101890450799806,3.54,1.9,0.1,1.13,0.41,2001,843,58
Rugrats in Paris: The Movie,PS,Action,THQ,Avalanche Software,7.101890450799806,3.52,1.96,0.0,1.33,0.23,2000,726,69
FIFA Soccer 11,X360,Sports,EA Sports,EA Canada,8.7,3.52,0.71,0.02,2.39,0.4,2010,540,292
NBA 2K17,PS4,Sports,2K Sports,Visual Concepts,9.0,3.5299999999999994,2.28,0.03,0.59,0.63,2016,183,134
