Game Title,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq,Console Freq,Genre Freq,Decade,NA Share,EU Share,JP Share,Other Share,Is Recent,Game Quality,Game Quality Encoded
Driver,0.8333333333333333,0.30807086614173224,0.31864754098360654,0.009389671361502348,0.2842639593908629,0.10576923076923077,1999,0.023969319271332692,0.02511415525114155,0.4715956558061821,1.0,1990,0.4960127591706539,0.44657097288676234,0.0031897926634768745,0.052631578947368425,0,High,2
Call of Duty: WWII,0.6779878278666451,0.3061023622047244,0.38422131147540983,0.0,0.19390862944162435,0.18269230769230765,2017,1.0,0.01141552511415525,0.2184628237259816,0.5229034531360113,2010,0.6019261637239165,0.3065810593900481,0.0,0.0914927768860353,1,High,2
Minecraft,0.6779878278666451,0.29773622047244097,0.2264344262295082,0.0,0.29035532994923857,0.3173076923076923,2014,0.017257909875359537,0.0045662100456621,0.56265664160401,0.7054263565891473,2010,0.36468646864686466,0.4719471947194719,0.0,0.16336633663366334,0,High,2
Red Dead Redemption 2,0.6779878278666451,0.2834645669291338,0.38524590163934425,0.0,0.14923857868020304,0.17307692307692307,2018,0.08820709491850431,0.00228310502283105,0.2184628237259816,0.09267089499647639,2010,0.6516464471403813,0.25476603119584057,0.0,0.09358752166377818,1,High,2
Destiny,0.6779878278666451,0.28297244094488183,0.25922131147540983,0.07511737089201878,0.216243654822335,0.3012820512820512,2014,1.0,0.03424657534246575,0.37886382623224724,0.5229034531360113,2010,0.4392361111111111,0.3697916666666667,0.02777777777777778,0.16319444444444445,0,High,2
Tekken 2,0.8999999999999999,0.28198818897637795,0.2315573770491803,0.6384976525821596,0.19187817258883247,0.07371794871794872,1996,0.16682646212847554,0.25799086757990863,0.4715956558061821,0.306553911205074,1990,0.3937282229965156,0.3292682926829268,0.23693379790940766,0.04006968641114982,0,High,2
LEGO Star Wars: The Complete Saga,0.7777777777777777,0.2780511811023622,0.36577868852459017,0.0,0.15939086294416244,0.16666666666666666,2007,0.13135186960690318,0.3447488584474886,0.5664160401002506,1.0,2000,0.6307420494699646,0.27738515901060073,0.0,0.09187279151943463,0,High,2
Cooking Mama,0.6222222222222222,0.2780511811023622,0.3165983606557377,0.03286384976525822,0.1949238578680203,0.18589743589743588,2006,0.21668264621284755,0.0091324200913242,0.9999999999999999,0.39464411557434814,2000,0.5459363957597173,0.33922261484098937,0.01236749116607774,0.10247349823321554,0,Medium,1
Assassin's Creed II,0.8888888888888888,0.2736220472440945,0.26024590163934425,0.09859154929577464,0.1979695431472081,0.2756410256410256,2009,0.9693192713326941,0.3904109589041096,0.56265664160401,1.0,2000,0.45601436265709155,0.35008976660682223,0.03770197486535009,0.15439856373429084,0,High,2
Assassin's Creed,0.7999999999999998,0.2726377952755905,0.3360655737704918,0.03286384976525822,0.166497461928934,0.1794871794871795,2007,0.9693192713326941,0.3904109589041096,0.5434419381787802,1.0,2000,0.590990990990991,0.2954954954954955,0.012612612612612614,0.10090090090090091,0,High,2
Batman: Arkham City,0.9555555555555555,0.27214566929133854,0.27868852459016397,0.051643192488262914,0.19187817258883247,0.2628205128205128,2011,0.11984659635666346,0.02511415525114155,0.56265664160401,1.0,2010,0.4909747292418773,0.3411552346570397,0.019855595667870037,0.148014440433213,0,High,2
Forza Motorsport 3,0.911111111111111,0.2701771653543307,0.30635245901639346,0.04694835680751174,0.19289340101522842,0.16346153846153846,2009,0.087248322147651,0.0091324200913242,0.5434419381787802,0.5038759689922481,2000,0.5436363636363637,0.34545454545454546,0.018181818181818184,0.09272727272727273,0,High,2
Call of Duty: World at War,0.8222222222222222,0.2667322834645669,0.2817622950819672,0.0,0.18680203045685279,0.2692307692307692,2008,1.0,0.12557077625570776,0.56265664160401,0.5229034531360113,2000,0.5064456721915286,0.3388581952117864,0.0,0.15469613259668508,0,High,2
Minecraft,0.6779878278666451,0.2667322834645669,0.33094262295081966,0.0,0.1736040609137056,0.15705128205128202,2014,0.03835091083413231,0.0045662100456621,0.2184628237259816,0.7054263565891473,2010,0.5948434622467772,0.31491712707182323,0.0,0.09023941068139964,0,High,2
